joy,💿,:cd:,&#x1f4bf;,1
trust,💓,:heartbeat:,&#x1f493;,34
trust,🚺,:womens:,&#x1f6ba;,1
anticipation,😬,:grimacing:,&#x1f62c;,95
anticipation,👏,:clap:,&#x1f44f;,18
anticipation,👺,:japanese_goblin:,&#x1f47a;,1
anticipation,👇,:point_down:,&#x1f447;,2
surprise,🍰,:cake:,&#x1f370;,5
surprise,💸,:money_with_wings:,&#x1f4b8;,2
surprise,:{,:{,:{,1
anger,🐟,:fish:,&#x1f41f;,1
anger,🎹,:musical_keyboard:,&#x1f3b9;,1
fear,🎬,:clapper:,&#x1f3ac;,4
fear,🌊,:ocean:,&#x1f30a;,3
joy,🙊,:speak_no_evil:,&#x1f64a;,26
joy,🍴,:fork_and_knife:,&#x1f374;,19
joy,😟,:worried:,&#x1f61f;,2
trust,.-.,.-.,.-.,12
trust,🌙,:crescent_moon:,&#x1f319;,5
anticipation,☀,:sunny:,&#x2600;,4
anticipation,🙆,:ok_woman:,&#x1f646;,1
anticipation,🌇,:city_sunrise:,&#x1f307;,1
surprise,💳,:credit_card:,&#x1f4b3;,1
sadness,🎄,:christmas_tree:,&#x1f384;,2
sadness,🛁,:bathtub:,&#x1f6c1;,1
anger,😣,:persevere:,&#x1f623;,480
anger,💚,:green_heart:,&#x1f49a;,8
fear,🏈,:football:,&#x1f3c8;,98
fear,🐍,:snake:,&#x1f40d;,1
fear,💽,:minidisc:,&#x1f4bd;,1
disgust-hate,😠,:angry:,&#x1f620;,560
disgust-hate,🐏,:ram:,&#x1f40f;,5
disgust-hate,💢,:anger:,&#x1f4a2;,4
disgust-hate,🔴,:red_circle:,&#x1f534;,1
disgust-hate,:-[,:-[,:-[,1
joy,😂,:joy:,&#x1f602;,13882
joy,😚,:kissing_closed_eyes:,&#x1f61a;,157
joy,🎊,:confetti_ball:,&#x1f38a;,2
joy,🎥,:movie_camera:,&#x1f3a5;,13
joy,👮,:cop:,&#x1f46e;,1
joy,🐈,:cat2:,&#x1f408;,1
trust,👗,:dress:,&#x1f457;,6
trust,⛳,:golf:,&#x26f3;,6
trust,⚡,:zap:,&#x26a1;,6
anticipation,:'(,:'(,:'(,65
anticipation,😡,:rage:,&#x1f621;,66
anticipation,📬,:mailbox_with_mail:,&#x1f4ec;,1
anticipation,🐔,:chicken:,&#x1f414;,1
sadness,🗽,:statue_of_liberty:,&#x1f5fd;,1
anger,😻,:heart_eyes_cat:,&#x1f63b;,3
anger,🎧,:headphones:,&#x1f3a7;,9
fear,🏥,:hospital:,&#x1f3e5;,1
fear,👟,:athletic_shoe:,&#x1f45f;,2
disgust-hate,🙊,:speak_no_evil:,&#x1f64a;,44
disgust-hate,🙏,:pray:,&#x1f64f;,90
disgust-hate,⌚,:watch:,&#x231a;,2
joy,🎱,:8ball:,&#x1f3b1;,1
trust,💰,:moneybag:,&#x1f4b0;,16
anticipation,🏈,:football:,&#x1f3c8;,12
anticipation,💗,:heartpulse:,&#x1f497;,18
anticipation,😿,:crying_cat_face:,&#x1f63f;,20
surprise,.-.,.-.,.-.,50
surprise,💯,:100:,&#x1f4af;,1
sadness,🐹,:hamster:,&#x1f439;,1
sadness,🚗,:car:,&#x1f697;,6
sadness,🎥,:movie_camera:,&#x1f3a5;,1
sadness,📷,:camera:,&#x1f4f7;,5
anger,😡,:rage:,&#x1f621;,16477
anger,❤,:heart:,&#x2764;,57
anger,🎓,:mortar_board:,&#x1f393;,1
anger,🍻,:beers:,&#x1f37b;,5
fear,✔,:heavy_check_mark:,&#x2714;,9
fear,🍩,:doughnut:,&#x1f369;,4
fear,😼,:smirk_cat:,&#x1f63c;,2
fear,🌽,:corn:,&#x1f33d;,1
